"Code","Common.Name","Scientific.Name"
"harduc","Harlequin Duck","Histrionicus histrionicus"
"sursco","Surf Scoter","Melanitta perspicillata"
"whwsco2","White-winged Scoter","Melanitta deglandi"
"blksco1","Common Scoter","Melanitta nigra"
"blksco2","Black Scoter","Melanitta americana"
"lotduc","Long-tailed Duck","Clangula hyemalis"
"buffle","Bufflehead","Bucephala albeola"
"comgol","Common Goldeneye","Bucephala clangula"
"x00655","Bufflehead x Common Goldeneye (hybrid)","Bucephala albeola x clangula"
"x00909","Bufflehead x goldeneye sp. (hybrid)","Bucephala albeola x clangula/islandica"
"bargol","Barrow's Goldeneye","Bucephala islandica"
"cxbgol1","Common x Barrow's Goldeneye (hybrid)","Bucephala clangula x islandica"
"smew","Smew","Mergellus albellus"
"hoomer","Hooded Merganser","Lophodytes cucullatus"
"x00202","Wood Duck x Hooded Merganser (hybrid)","Aix sponsa x Lophodytes cucullatus"
"x00424","Bufflehead x Hooded Merganser (hybrid)","Bucephala albeola x Lophodytes cucullatus"
"x00425","Common Goldeneye x Hooded Merganser (hybrid)","Bucephala clangula x Lophodytes cucullatus"
"x00426","Barrow's Goldeneye x Hooded Merganser (hybrid)","Bucephala islandica x Lophodytes cucullatus"
"x00631","goldeneye sp. x Hooded Merganser (hybrid)","Bucephala clangula/islandica x Lophodytes cucullatus"
"commer","Common Merganser","Mergus merganser"
"rebmer","Red-breasted Merganser","Mergus serrator"
"rudduc","Ruddy Duck","Oxyura jamaicensis"
"helgui","Helmeted Guineafowl","Numida meleagris"
"mouqua","Mountain Quail","Oreortyx pictus"
"norbob","Northern Bobwhite","Colinus virginianus"
"calqua","California Quail","Callipepla californica"
"gamqua","Gambel's Quail","Callipepla gambelii"
"wiltur","Wild Turkey","Meleagris gallopavo"
"rufgro","Ruffed Grouse","Bonasa umbellus"
"saggro","Greater Sage-Grouse","Centrocercus urophasianus"
"dusgro","Dusky Grouse","Dendragapus obscurus"
"soogro1","Sooty Grouse","Dendragapus fuliginosus"
"shtgro","Sharp-tailed Grouse","Tympanuchus phasianellus"
"x00727","Greater Sage-Grouse x Sharp-tailed Grouse (hybrid)","Centrocercus urophasianus x Tympanuchus phasianellus"
"grpchi","Greater Prairie-Chicken","Tympanuchus cupido"
"x00728","Sharp-tailed Grouse x Greater Prairie-Chicken (hybrid)","Tympanuchus phasianellus x cupido"
"whtpta1","White-tailed Ptarmigan","Lagopus leucura"
"wilpta","Willow Ptarmigan","Lagopus lagopus"
"rocpta1","Rock Ptarmigan","Lagopus muta"
"sprgro","Spruce Grouse","Canachites canadensis"
"grypar","Gray Partridge","Perdix perdix"
"golphe","Golden Pheasant","Chrysolophus pictus"
"laaphe1","Lady Amherst's Pheasant","Chrysolophus amherstiae"
"rinphe1","Ring-necked Pheasant","Phasianus colchicus"
"rinphe2","Green Pheasant","Phasianus versicolor"
"silphe","Silver Pheasant","Lophura nycthemera"
"compea","Indian Peafowl","Pavo cristatus"
"redjun","Red Junglefowl","Gallus gallus"
"blbqua1","Blue-breasted Quail","Synoicus chinensis"
"comqua1","Common Quail","Coturnix coturnix"
"japqua","Japanese Quail","Coturnix japonica"
"relpar1","Red-legged Partridge","Alectoris rufa"
"chukar","Chukar","Alectoris chukar"
"chifla1","Chilean Flamingo","Phoenicopterus chilensis"
"grefla2","American Flamingo","Phoenicopterus ruber"
"pibgre","Pied-billed Grebe","Podilymbus podiceps"
"horgre","Horned Grebe","Podiceps auritus"
"rengre","Red-necked Grebe","Podiceps grisegena"
"eargre","Eared Grebe","Podiceps nigricollis"
"wesgre","Western Grebe","Aechmophorus occidentalis"
"clagre","Clark's Grebe","Aechmophorus clarkii"
"x00427","Western x Clark's Grebe (hybrid)","Aechmophorus occidentalis x clarkii"
"rocpig","Rock Pigeon","Columba livia"
"cowpig1","Common Wood-Pigeon","Columba palumbus"
"batpig1","Band-tailed Pigeon","Patagioenas fasciata"
"paspig","Passenger Pigeon","Ectopistes migratorius"
"ortdov","Oriental Turtle-Dove","Streptopelia orientalis"
"eucdov","Eurasian Collared-Dove","Streptopelia decaocto"
"afcdov1","African Collared-Dove","Streptopelia roseogrisea"
"spodov","Spotted Dove","Spilopelia chinensis"
"laudov1","Laughing Dove","Spilopelia senegalensis"
"incdov","Inca Dove","Columbina inca"
"cogdov","Common Ground Dove","Columbina passerina"
"whwdov","White-winged Dove","Zenaida asiatica"
"moudov","Mourning Dove","Zenaida macroura"
"grbani","Groove-billed Ani","Crotophaga sulcirostris"
"yebcuc","Yellow-billed Cuckoo","Coccyzus americanus"
"bkbcuc","Black-billed Cuckoo","Coccyzus erythropthalmus"
"comcuc","Common Cuckoo","Cuculus canorus"
"lesnig","Lesser Nighthawk","Chordeiles acutipennis"
"comnig","Common Nighthawk","Chordeiles minor"
"compoo","Common Poorwill","Phalaenoptilus nuttallii"
"chwwid","Chuck-will's-widow","Antrostomus carolinensis"
"easwpw1","Eastern Whip-poor-will","Antrostomus vociferus"
"blkswi","Black Swift","Cypseloides niger"
"whcswi","White-collared Swift","Streptoprocne zonaris"
"chiswi","Chimney Swift","Chaetura pelagica"
"vauswi","Vaux's Swift","Chaetura vauxi"
"comswi","Common Swift","Apus apus"
"fotswi","Pacific Swift","Apus pacificus"
"whtswi","White-throated Swift","Aeronautes saxatalis"
"grnvie1","Mexican Violetear","Colibri thalassinus"
"maghum1","Rivoli's Hummingbird","Eugenes fulgens"
"amthum1","Amethyst-throated Mountain-gem","Lampornis amethystinus"
"rthhum","Ruby-throated Hummingbird","Archilochus colubris"
"bkchum","Black-chinned Hummingbird","Archilochus alexandri"
"annhum","Anna's Hummingbird","Calypte anna"
"x00651","Black-chinned x Anna's Hummingbird (hybrid)","Archilochus alexandri x Calypte anna"
"coshum","Costa's Hummingbird","Calypte costae"
"calhum","Calliope Hummingbird","Selasphorus calliope"
"rufhum","Rufous Hummingbird","Selasphorus rufus"
"x00738","Black-chinned x Rufous Hummingbird (hybrid)","Archilochus alexandri x Selasphorus rufus"
"x00626","Anna's x Rufous Hummingbird (hybrid)","Calypte anna x Selasphorus rufus"
"brthum","Broad-tailed Hummingbird","Selasphorus platycercus"
"brbhum","Broad-billed Hummingbird","Cynanthus latirostris"
"xanhum","Xantus's Hummingbird","Basilinna xantusii"
"kinrai4","King Rail","Rallus elegans"
"clarai11","Clapper Rail","Rallus crepitans"
"virrai","Virginia Rail","Rallus limicola"
"corcra","Corn Crake","Crex crex"
"sora","Sora","Porzana carolina"
"comgal1","Common Gallinule","Gallinula galeata"
"eurcoo","Eurasian Coot","Fulica atra"
"y00475","American Coot","Fulica americana"
"purgal2","Purple Gallinule","Porphyrio martinica"
"yelrai","Yellow Rail","Coturnicops noveboracensis"
"blkrai","Black Rail","Laterallus jamaicensis"
"limpki","Limpkin","Aramus guarauna"
"demcra1","Demoiselle Crane","Anthropoides virgo"
"sancra","Sandhill Crane","Antigone canadensis"
"comcra","Common Crane","Grus grus"
"whocra","Whooping Crane","Grus americana"
"bknsti","Black-necked Stilt","Himantopus mexicanus"
"ameavo","American Avocet","Recurvirostra americana"
"x00732","Black-necked Stilt x American Avocet (hybrid)","Himantopus mexicanus x Recurvirostra americana"
"euroys1","Eurasian Oystercatcher","Haematopus ostralegus"
"ameoys","American Oystercatcher","Haematopus palliatus"
"blkoys","Black Oystercatcher","Haematopus bachmani"
"bkbplo","Black-bellied Plover","Pluvialis squatarola"
"eugplo","European Golden-Plover","Pluvialis apricaria"
"amgplo","American Golden-Plover","Pluvialis dominica"
"pagplo","Pacific Golden-Plover","Pluvialis fulva"
"norlap","Northern Lapwing","Vanellus vanellus"
"lesplo","Lesser Sand-Plover","Charadrius mongolus"
"snoplo5","Snowy Plover","Charadrius nivosus"
"wilplo","Wilson's Plover","Charadrius wilsonia"
"corplo","Common Ringed Plover","Charadrius hiaticula"
"semplo","Semipalmated Plover","Charadrius semipalmatus"
"pipplo","Piping Plover","Charadrius melodus"
"killde","Killdeer","Charadrius vociferus"
"mouplo","Mountain Plover","Charadrius montanus"
"eurdot","Eurasian Dotterel","Charadrius morinellus"
"uplsan","Upland Sandpiper","Bartramia longicauda"
"brtcur","Bristle-thighed Curlew","Numenius tahitiensis"
"whimbr","Whimbrel","Numenius phaeopus"
"eskcur","Eskimo Curlew","Numenius borealis"
"lobcur","Long-billed Curlew","Numenius americanus"
"faecur","Far Eastern Curlew","Numenius madagascariensis"
"slbcur","Slender-billed Curlew","Numenius tenuirostris"
"eurcur","Eurasian Curlew","Numenius arquata"
"batgod","Bar-tailed Godwit","Limosa lapponica"
"bktgod","Black-tailed Godwit","Limosa limosa"
"hudgod","Hudsonian Godwit","Limosa haemastica"
"margod","Marbled Godwit","Limosa fedoa"
"rudtur","Ruddy Turnstone","Arenaria interpres"
"blktur","Black Turnstone","Arenaria melanocephala"
"redkno","Red Knot","Calidris canutus"
"surfbi","Surfbird","Calidris virgata"
"ruff","Ruff","Calidris pugnax"
"shtsan","Sharp-tailed Sandpiper","Calidris acuminata"
"stisan","Stilt Sandpiper","Calidris himantopus"
"cursan","Curlew Sandpiper","Calidris ferruginea"
"temsti","Temminck's Stint","Calidris temminckii"
"spbsan1","Spoon-billed Sandpiper","Calidris pygmaea"
"rensti","Red-necked Stint","Calidris ruficollis"
"sander","Sanderling","Calidris alba"
"dunlin","Dunlin","Calidris alpina"
"rocsan","Rock Sandpiper","Calidris ptilocnemis"
"pursan","Purple Sandpiper","Calidris maritima"
"baisan","Baird's Sandpiper","Calidris bairdii"
"litsti","Little Stint","Calidris minuta"
"leasan","Least Sandpiper","Calidris minutilla"
"whrsan","White-rumped Sandpiper","Calidris fuscicollis"
"x00430","Dunlin x White-rumped Sandpiper (hybrid)","Calidris alpina x fuscicollis"
"bubsan","Buff-breasted Sandpiper","Calidris subruficollis"
"x00431","White-rumped x Buff-breasted Sandpiper (hybrid)","Calidris fuscicollis x subruficollis"
"pecsan","Pectoral Sandpiper","Calidris melanotos"
"semsan","Semipalmated Sandpiper","Calidris pusilla"
"wessan","Western Sandpiper","Calidris mauri"
"shbdow","Short-billed Dowitcher","Limnodromus griseus"
"lobdow","Long-billed Dowitcher","Limnodromus scolopaceus"
"jacsni","Jack Snipe","Lymnocryptes minimus"
"amewoo","American Woodcock","Scolopax minor"
"comsni","Common Snipe","Gallinago gallinago"
"wilsni1","Wilson's Snipe","Gallinago delicata"
"tersan","Terek Sandpiper","Xenus cinereus"
"wilpha","Wilson's Phalarope","Phalaropus tricolor"
"renpha","Red-necked Phalarope","Phalaropus lobatus"
"redpha1","Red Phalarope","Phalaropus fulicarius"
"sposan","Spotted Sandpiper","Actitis macularius"
"solsan","Solitary Sandpiper","Tringa solitaria"
"gyttat1","Gray-tailed Tattler","Tringa brevipes"
"wantat1","Wandering Tattler","Tringa incana"
"spored","Spotted Redshank","Tringa erythropus"
"greyel","Greater Yellowlegs","Tringa melanoleuca"
"comgre","Common Greenshank","Tringa nebularia"
"willet1","Willet","Tringa semipalmata"
"lesyel","Lesser Yellowlegs","Tringa flavipes"
"marsan","Marsh Sandpiper","Tringa stagnatilis"
"woosan","Wood Sandpiper","Tringa glareola"
"comred1","Common Redshank","Tringa totanus"
"gresku1","Great Skua","Stercorarius skua"
"sopsku1","South Polar Skua","Stercorarius maccormicki"
"pomjae","Pomarine Jaeger","Stercorarius pomarinus"
"parjae","Parasitic Jaeger","Stercorarius parasiticus"
"lotjae","Long-tailed Jaeger","Stercorarius longicaudus"
"doveki","Dovekie","Alle alle"
"commur","Common Murre","Uria aalge"
"thbmur","Thick-billed Murre","Uria lomvia"
"razorb","Razorbill","Alca torda"
"blkgui","Black Guillemot","Cepphus grylle"
"piggui","Pigeon Guillemot","Cepphus columba"
"lobmur","Long-billed Murrelet","Brachyramphus perdix"
"marmur","Marbled Murrelet","Brachyramphus marmoratus"
"kitmur","Kittlitz's Murrelet","Brachyramphus brevirostris"
"xanmur2","Scripps's Murrelet","Synthliboramphus scrippsi"
"xanmur1","Guadalupe Murrelet","Synthliboramphus hypoleucus"
"ancmur","Ancient Murrelet","Synthliboramphus antiquus"
"casauk","Cassin's Auklet","Ptychoramphus aleuticus"
"parauk","Parakeet Auklet","Aethia psittacula"
"creauk","Crested Auklet","Aethia cristatella"
"rhiauk","Rhinoceros Auklet","Cerorhinca monocerata"
"atlpuf","Atlantic Puffin","Fratercula arctica"
"horpuf","Horned Puffin","Fratercula corniculata"
"tufpuf","Tufted Puffin","Fratercula cirrhata"
"bklkit","Black-legged Kittiwake","Rissa tridactyla"
"relkit","Red-legged Kittiwake","Rissa brevirostris"
"ivogul","Ivory Gull","Pagophila eburnea"
"sabgul","Sabine's Gull","Xema sabini"
"bongul","Bonaparte's Gull","Chroicocephalus philadelphia"
"bkhgul","Black-headed Gull","Chroicocephalus ridibundus"
"litgul","Little Gull","Hydrocoloeus minutus"
"rosgul","Ross's Gull","Rhodostethia rosea"
"laugul","Laughing Gull","Leucophaeus atricilla"
"fragul","Franklin's Gull","Leucophaeus pipixcan"
"bktgul","Black-tailed Gull","Larus crassirostris"
"heegul","Heermann's Gull","Larus heermanni"
"mewgul","Common Gull","Larus canus"
"mewgul2","Short-billed Gull","Larus brachyrhynchus"
"ribgul","Ring-billed Gull","Larus delawarensis"
"x00641","Black-headed x Ring-billed Gull (hybrid)","Chroicocephalus ridibundus x Larus delawarensis"
"x00616","Laughing x Ring-billed Gull (hybrid)","Leucophaeus atricilla x Larus delawarensis"
"wesgul","Western Gull","Larus occidentalis"
"calgul","California Gull","Larus californicus"
"hergul","Herring Gull","Larus argentatus"
"x00797","California x Herring Gull (hybrid)","Larus californicus x argentatus"
"yelgul1","Yellow-legged Gull","Larus michahellis"
"y00478","Iceland Gull","Larus glaucoides"
"lbbgul","Lesser Black-backed Gull","Larus fuscus"
"x00057","Herring x Lesser Black-backed Gull (hybrid)","Larus argentatus x fuscus"
"slbgul","Slaty-backed Gull","Larus schistisagus"
"glwgul","Glaucous-winged Gull","Larus glaucescens"
"x00051","Western x Glaucous-winged Gull (hybrid)","Larus occidentalis x glaucescens"
"x00050","Herring x Glaucous-winged Gull (hybrid)","Larus argentatus x glaucescens"
"x00436","Slaty-backed x Glaucous-winged Gull (hybrid)","Larus schistisagus x glaucescens"
"glagul","Glaucous Gull","Larus hyperboreus"
"nelgul","Herring x Glaucous Gull (hybrid)","Larus argentatus x hyperboreus"
"x00048","Glaucous-winged x Glaucous Gull (hybrid)","Larus glaucescens x hyperboreus"
"gbbgul","Great Black-backed Gull","Larus marinus"
"x00047","Herring x Great Black-backed Gull (hybrid)","Larus argentatus x marinus"
"x00632","Glaucous x Great Black-backed Gull (hybrid)","Larus hyperboreus x marinus"
"kelgul","Kelp Gull","Larus dominicanus"
"sooter1","Sooty Tern","Onychoprion fuscatus"
"briter1","Bridled Tern","Onychoprion anaethetus"
"leater1","Least Tern","Sternula antillarum"
"gubter1","Gull-billed Tern","Gelochelidon nilotica"
"caster1","Caspian Tern","Hydroprogne caspia"
"blkter","Black Tern","Chlidonias niger"
"whwter","White-winged Tern","Chlidonias leucopterus"
"roster","Roseate Tern","Sterna dougallii"
"comter","Common Tern","Sterna hirundo"
"x00735","Roseate x Common Tern (hybrid)","Sterna dougallii x hirundo"
"arcter","Arctic Tern","Sterna paradisaea"
"forter","Forster's Tern","Sterna forsteri"
"royter1","Royal Tern","Thalasseus maximus"
"santer1","Sandwich Tern","Thalasseus sandvicensis"
"eleter1","Elegant Tern","Thalasseus elegans"
"blkski","Black Skimmer","Rynchops niger"
"whttro","White-tailed Tropicbird","Phaethon lepturus"
"rebtro","Red-billed Tropicbird","Phaethon aethereus"
"retloo","Red-throated Loon","Gavia stellata"
"arcloo","Arctic Loon","Gavia arctica"
"pacloo","Pacific Loon","Gavia pacifica"
"comloo","Common Loon","Gavia immer"
"yebloo","Yellow-billed Loon","Gavia adamsii"
"yenalb","Yellow-nosed Albatross","Thalassarche chlororhynchos"
"bkbalb","Black-browed Albatross","Thalassarche melanophris"
"layalb","Laysan Albatross","Phoebastria immutabilis"
"bkfalb","Black-footed Albatross","Phoebastria nigripes"
"shtalb","Short-tailed Albatross","Phoebastria albatrus"
"wispet","Wilson's Storm-Petrel","Oceanites oceanicus"
"wfspet","White-faced Storm-Petrel","Pelagodroma marina"
"ftspet","Fork-tailed Storm-Petrel","Hydrobates furcatus"
"lcspet","Leach's Storm-Petrel","Hydrobates leucorhous"
"barpet","Band-rumped Storm-Petrel","Hydrobates castro"
"norful","Northern Fulmar","Fulmarus glacialis"
"tripet1","Trindade Petrel","Pterodroma arminjoniana"
"murpet","Murphy's Petrel","Pterodroma ultima"
"feapet1","Fea's Petrel","Pterodroma feae"
"motpet","Mottled Petrel","Pterodroma inexpectata"
"berpet","Bermuda Petrel","Pterodroma cahow"
"bkcpet","Black-capped Petrel","Pterodroma hasitata"
"hawpet1","Hawaiian Petrel","Pterodroma sandwichensis"
"coopet","Cook's Petrel","Pterodroma cookii"
"corshe","Cory's Shearwater","Calonectris diomedea"
"pifshe","Pink-footed Shearwater","Ardenna creatopus"
"flfshe","Flesh-footed Shearwater","Ardenna carneipes"
"greshe","Great Shearwater","Ardenna gravis"
"bulshe","Buller's Shearwater","Ardenna bulleri"
"sooshe","Sooty Shearwater","Ardenna grisea"
"shtshe","Short-tailed Shearwater","Ardenna tenuirostris"
"manshe","Manx Shearwater","Puffinus puffinus"
"litshe1","Barolo Shearwater","Puffinus baroli"
"audshe","Audubon's Shearwater","Puffinus lherminieri"
"woosto","Wood Stork","Mycteria americana"
"magfri","Magnificent Frigatebird","Fregata magnificens"
"masboo","Masked Booby","Sula dactylatra"
"nazboo1","Nazca Booby","Sula granti"
"brnboo","Brown Booby","Sula leucogaster"
"refboo","Red-footed Booby","Sula sula"
"norgan","Northern Gannet","Morus bassanus"
"anhing","Anhinga","Anhinga anhinga"
"bracor","Brandt's Cormorant","Urile penicillatus"
"pelcor","Pelagic Cormorant","Urile pelagicus"
"grecor","Great Cormorant","Phalacrocorax carbo"
"doccor","Double-crested Cormorant","Nannopterum auritum"
"neocor","Neotropic Cormorant","Nannopterum brasilianum"
"amwpel","American White Pelican","Pelecanus erythrorhynchos"
"brnpel","Brown Pelican","Pelecanus occidentalis"
"grwpel1","Great White Pelican","Pelecanus onocrotalus"
"amebit","American Bittern","Botaurus lentiginosus"
"leabit","Least Bittern","Ixobrychus exilis"
"grbher3","Great Blue Heron","Ardea herodias"
"graher1","Gray Heron","Ardea cinerea"
"greegr","Great Egret","Ardea alba"
"litegr","Little Egret","Egretta garzetta"
"werher","Western Reef-Heron","Egretta gularis"
"snoegr","Snowy Egret","Egretta thula"
"libher","Little Blue Heron","Egretta caerulea"
"triher","Tricolored Heron","Egretta tricolor"
"redegr","Reddish Egret","Egretta rufescens"
"categr","Cattle Egret","Bubulcus ibis"
"grnher","Green Heron","Butorides virescens"
"bcnher","Black-crowned Night-Heron","Nycticorax nycticorax"
"ycnher","Yellow-crowned Night-Heron","Nyctanassa violacea"
"whiibi","White Ibis","Eudocimus albus"
"gloibi","Glossy Ibis","Plegadis falcinellus"
"whfibi","White-faced Ibis","Plegadis chihi"
"gxwibi1","Glossy x White-faced Ibis (hybrid)","Plegadis falcinellus x chihi"
"rosspo1","Roseate Spoonbill","Platalea ajaja"
"blkvul","Black Vulture","Coragyps atratus"
"turvul","Turkey Vulture","Cathartes aura"
"osprey","Osprey","Pandion haliaetus"
"whtkit","White-tailed Kite","Elanus leucurus"
"swtkit","Swallow-tailed Kite","Elanoides forficatus"
"goleag","Golden Eagle","Aquila chrysaetos"
"miskit","Mississippi Kite","Ictinia mississippiensis"
"norhar2","Northern Harrier","Circus hudsonius"
"shshaw","Sharp-shinned Hawk","Accipiter striatus"
"coohaw","Cooper's Hawk","Accipiter cooperii"
"norgos","Northern Goshawk","Accipiter gentilis"
"baleag","Bald Eagle","Haliaeetus leucocephalus"
"stseag","Steller's Sea-Eagle","Haliaeetus pelagicus"
"hrshaw","Harris's Hawk","Parabuteo unicinctus"
"reshaw","Red-shouldered Hawk","Buteo lineatus"
"brwhaw","Broad-winged Hawk","Buteo platypterus"
"swahaw","Swainson's Hawk","Buteo swainsoni"
"zothaw","Zone-tailed Hawk","Buteo albonotatus"
"rethaw","Red-tailed Hawk","Buteo jamaicensis"
"x00686","Red-shouldered x Red-tailed Hawk (hybrid)","Buteo lineatus x jamaicensis"
"rolhaw","Rough-legged Hawk","Buteo lagopus"
"x00731","Red-tailed x Rough-legged Hawk (hybrid)","Buteo jamaicensis x lagopus"
"ferhaw","Ferruginous Hawk","Buteo regalis"
"brnowl","Barn Owl","Tyto alba"
"flaowl","Flammulated Owl","Psiloscops flammeolus"
